Metric,Mean,Std,Min,Max,Median
AUC,0.9353961209730441,0.009947151258311361,0.9262409598948061,0.9541831032215647,0.9317472057856674
AUPR,0.9373882421945255,0.009597319121031232,0.9302907074472293,0.9548826475196236,0.9306272080215645
