fold,auc,aupr
1,0.9541831032215647,0.9548826475196236
2,0.9262409598948061,0.9302907074472293
3,0.9287475345167652,0.9306272080215645
4,0.9360618014464168,0.9406591459637084
5,0.9317472057856674,0.9304815020205027
